head,label
000_003.png,Fake
001.png,Real
001_870.png,Fake
002.png,Real
002_006.png,Fake
003.png,Real
003_000.png,Fake
004.png,Real
004_982.png,Fake
005.png,Real
005_010.png,Fake
006.png,Real
006_002.png,Fake
007.png,Real
007_132.png,Fake
008.png,Real
008_990.png,Fake
009.png,Real
009_027.png,Fake
010.png,Real
010_005.png,Fake
012.png,Real
012_026.png,Fake
013.png,Real
013_883.png,Fake
014.png,Real
014_790.png,Fake
015.png,Real
015_919.png,Fake
016.png,Real
016_209.png,Fake
017.png,Real
017_803.png,Fake
018.png,Real
018_019.png,Fake
019.png,Real
019_018.png,Fake
020.png,Real
020_344.png,Fake
021.png,Real
021_312.png,Fake
022.png,Real
022_489.png,Fake
023.png,Real
023_923.png,Fake
024.png,Real
024_073.png,Fake
025.png,Real
025_067.png,Fake
026.png,Real
026_012.png,Fake
027.png,Real
027_009.png,Fake
028.png,Real
028_068.png,Fake
029.png,Real
029_048.png,Fake
030.png,Real
031.png,Real
031_163.png,Fake
032.png,Real
032_944.png,Fake
033.png,Real
033_097.png,Fake
034.png,Real
034_590.png,Fake
035.png,Real
035_036.png,Fake
036.png,Real
036_035.png,Fake
037.png,Real
037_072.png,Fake
038.png,Real
038_125.png,Fake
039.png,Real
039_058.png,Fake
040.png,Real
040_997.png,Fake
041.png,Real
041_063.png,Fake
042.png,Real
042_084.png,Fake
043.png,Real
043_110.png,Fake
044.png,Real
045_889.png,Fake
046.png,Real
046_904.png,Fake
047.png,Real
047_862.png,Fake
048.png,Real
048_029.png,Fake
049_946.png,Fake
050.png,Real
051.png,Real
051_332.png,Fake
052.png,Real
052_108.png,Fake
053.png,Real
053_095.png,Fake
054.png,Real
054_071.png,Fake
055.png,Real
055_147.png,Fake
056.png,Real
056_996.png,Fake
057.png,Real
057_070.png,Fake
058.png,Real
058_039.png,Fake
059.png,Real
060.png,Real
060_088.png,Fake
061.png,Real
061_080.png,Fake
062.png,Real
062_066.png,Fake
063.png,Real
063_041.png,Fake
064.png,Real
065.png,Real
065_089.png,Fake
066.png,Real
067.png,Real
067_025.png,Fake
068.png,Real
068_028.png,Fake
069.png,Real
069_961.png,Fake
070_057.png,Fake
071.png,Real
071_054.png,Fake
072.png,Real
072_037.png,Fake
073.png,Real
073_024.png,Fake
074.png,Real
074_825.png,Fake
076.png,Real
076_079.png,Fake
077.png,Real
078.png,Real
078_955.png,Fake
079.png,Real
079_076.png,Fake
080.png,Real
080_061.png,Fake
081.png,Real
081_087.png,Fake
082.png,Real
082_103.png,Fake
083.png,Real
083_213.png,Fake
084.png,Real
084_042.png,Fake
085.png,Real
085_124.png,Fake
086.png,Real
087.png,Real
087_081.png,Fake
088.png,Real
088_060.png,Fake
089.png,Real
089_065.png,Fake
090.png,Real
090_086.png,Fake
091.png,Real
092.png,Real
092_098.png,Fake
093_121.png,Fake
094.png,Real
094_111.png,Fake
095.png,Real
095_053.png,Fake
096.png,Real
096_101.png,Fake
098.png,Real
098_092.png,Fake
099.png,Real
099_295.png,Fake
100.png,Real
101.png,Real
101_096.png,Fake
102.png,Real
102_114.png,Fake
103.png,Real
103_082.png,Fake
104.png,Real
104_126.png,Fake
105.png,Real
105_180.png,Fake
106.png,Real
106_198.png,Fake
107.png,Real
107_109.png,Fake
108.png,Real
108_052.png,Fake
109.png,Real
109_107.png,Fake
111.png,Real
111_094.png,Fake
112.png,Real
112_892.png,Fake
113.png,Real
113_983.png,Fake
114.png,Real
114_102.png,Fake
115.png,Real
115_939.png,Fake
116.png,Real
116_091.png,Fake
117.png,Real
117_217.png,Fake
118.png,Real
118_120.png,Fake
119.png,Real
119_123.png,Fake
120.png,Real
120_118.png,Fake
121.png,Real
121_093.png,Fake
122.png,Real
122_144.png,Fake
123.png,Real
123_119.png,Fake
124.png,Real
124_085.png,Fake
126.png,Real
126_104.png,Fake
127.png,Real
127_129.png,Fake
128.png,Real
128_896.png,Fake
129.png,Real
129_127.png,Fake
130.png,Real
130_139.png,Fake
131.png,Real
131_518.png,Fake
132.png,Real
132_007.png,Fake
133.png,Real
133_148.png,Fake
134.png,Real
134_192.png,Fake
135.png,Real
135_880.png,Fake
136.png,Real
137.png,Real
137_165.png,Fake
138.png,Real
138_142.png,Fake
139.png,Real
139_130.png,Fake
140.png,Real
140_143.png,Fake
141.png,Real
141_161.png,Fake
142.png,Real
142_138.png,Fake
143.png,Real
143_140.png,Fake
144.png,Real
144_122.png,Fake
146.png,Real
147.png,Real
147_055.png,Fake
148.png,Real
148_133.png,Fake
149.png,Real
149_152.png,Fake
150.png,Real
150_153.png,Fake
151.png,Real
152.png,Real
152_149.png,Fake
153.png,Real
153_150.png,Fake
154.png,Real
154_386.png,Fake
155.png,Real
155_576.png,Fake
156.png,Real
156_243.png,Fake
157.png,Real
157_245.png,Fake
158_379.png,Fake
159.png,Real
159_175.png,Fake
160.png,Real
160_928.png,Fake
161.png,Real
161_141.png,Fake
162.png,Real
162_330.png,Fake
163.png,Real
163_031.png,Fake
164.png,Real
164_216.png,Fake
165.png,Real
165_137.png,Fake
166.png,Real
166_167.png,Fake
167.png,Real
167_166.png,Fake
168.png,Real
168_222.png,Fake
169.png,Real
169_227.png,Fake
170.png,Real
170_186.png,Fake
171.png,Real
171_173.png,Fake
172.png,Real
172_582.png,Fake
173.png,Real
173_171.png,Fake
174.png,Real
174_964.png,Fake
175.png,Real
175_159.png,Fake
176.png,Real
176_190.png,Fake
177.png,Real
177_211.png,Fake
178.png,Real
178_598.png,Fake
179.png,Real
179_212.png,Fake
180.png,Real
180_105.png,Fake
181.png,Real
181_199.png,Fake
182.png,Real
182_242.png,Fake
183.png,Real
184.png,Real
184_205.png,Fake
185.png,Real
185_276.png,Fake
187.png,Real
187_234.png,Fake
188.png,Real
188_191.png,Fake
189.png,Real
189_200.png,Fake
190.png,Real
191.png,Real
191_188.png,Fake
192.png,Real
192_134.png,Fake
193.png,Real
194.png,Real
194_235.png,Fake
195.png,Real
195_442.png,Fake
197.png,Real
197_224.png,Fake
198.png,Real
198_106.png,Fake
199.png,Real
199_181.png,Fake
200.png,Real
200_189.png,Fake
201.png,Real
201_203.png,Fake
202.png,Real
202_348.png,Fake
203.png,Real
203_201.png,Fake
204.png,Real
204_230.png,Fake
205.png,Real
205_184.png,Fake
206.png,Real
206_221.png,Fake
207.png,Real
207_908.png,Fake
208.png,Real
208_215.png,Fake
209.png,Real
209_016.png,Fake
210.png,Real
210_241.png,Fake
211.png,Real
211_177.png,Fake
212.png,Real
212_179.png,Fake
213.png,Real
213_083.png,Fake
214_255.png,Fake
215.png,Real
215_208.png,Fake
216.png,Real
216_164.png,Fake
217.png,Real
217_117.png,Fake
218.png,Real
218_239.png,Fake
219.png,Real
219_220.png,Fake
220.png,Real
220_219.png,Fake
221.png,Real
221_206.png,Fake
222.png,Real
222_168.png,Fake
223.png,Real
223_586.png,Fake
224.png,Real
224_197.png,Fake
225.png,Real
225_151.png,Fake
226.png,Real
226_491.png,Fake
227.png,Real
227_169.png,Fake
228.png,Real
228_289.png,Fake
229.png,Real
229_247.png,Fake
230.png,Real
230_204.png,Fake
231.png,Real
231_663.png,Fake
232.png,Real
232_248.png,Fake
233.png,Real
233_995.png,Fake
234.png,Real
234_187.png,Fake
235.png,Real
235_194.png,Fake
236.png,Real
236_237.png,Fake
237.png,Real
237_236.png,Fake
238.png,Real
238_282.png,Fake
239.png,Real
239_218.png,Fake
240.png,Real
240_290.png,Fake
241.png,Real
241_210.png,Fake
242.png,Real
243.png,Real
243_156.png,Fake
244.png,Real
244_822.png,Fake
245.png,Real
245_157.png,Fake
246_258.png,Fake
247.png,Real
247_229.png,Fake
248.png,Real
248_232.png,Fake
